,0
country_MLI,0.0
country_SLE,0.0
country_NPL,0.0
country_KIR,0.0
country_SMR,0.0
country_ATF,0.0
assigned_room_type_L,0.0
country_LCA,0.0
country_DJI,0.0
country_PYF,0.0
distribution_channel_Undefined,0.0
country_PLW,0.0
country_MMR,0.0
country_DMA,0.0
arrival_date_day_of_month,0.0008351846738900557
country_MWI,0.002098693278699082
country_MLT,0.0030310448751874036
days_in_waiting_list,0.004448553129105344
lead_time,0.007029926042562464
arrival_date_month_October,0.007075231716319792
adr,0.007099408697324714
country_ISL,0.010303115057228368
arrival_date_month_January,0.014796307100217532
arrival_date_month_March,0.029429918915900976
reserved_room_type_E,0.02971392632542051
arrival_date_month_May,0.03050237377610489
country_CHE,0.036245889317168045
reserved_room_type_F,0.03848312959275435
market_segment_Aviation,0.04101017775254015
country_FRA,0.04148739041864281
arrival_date_month_November,0.04210076509231613
distribution_channel_TA/TO,0.04483924242797821
stays_in_weekend_nights,0.04921759117919388
meal_BB,0.05499367480709876
country_AUS,0.05722001639872195
country_CN,0.06338834946964034
stays_in_week_nights,0.0704792297032195
country_NOR,0.07784710966189042
babies,0.08494900599673455
country_IRL,0.09299323059939843
country_SVN,0.09951670488253182
country_IRN,0.1013383770580476
arrival_date_month_April,0.10153184825650502
country_ROU,0.10556521777151395
adults,0.10888339059183398
arrival_date_month_December,0.12021363190436449
country_GBR,0.12128351862537413
distribution_channel_Direct,0.12735604186431806
country_POL,0.1294149691872603
country_CZE,0.13206035060843802
